date,model,headline,output,messages
2026-05-19,Other,0,0,1
2026-05-19,Sonnet 4.6,1959618,392627,525
2026-05-20,Other,0,0,5
2026-05-20,Sonnet 4.6,1905095,407630,695
2026-05-21,Sonnet 4.6,609260,126725,117
2026-05-22,Other,0,0,3
2026-05-22,Sonnet 4.6,4645392,823611,1368
2026-05-23,Opus 4.7,838706,254870,198
2026-05-23,Other,0,0,8
2026-05-23,Sonnet 4.6,4363093,972324,1740
2026-05-24,Opus 4.7,3489660,600972,978
2026-05-24,Other,0,0,3
2026-05-24,Sonnet 4.6,1321148,244237,498
2026-05-25,Opus 4.7,235474,58561,50
2026-05-25,Sonnet 4.6,979534,252495,479
2026-05-26,Opus 4.7,1129851,119123,196
2026-05-26,Other,0,0,1
2026-05-26,Sonnet 4.6,3591014,909477,1653
2026-05-27,Opus 4.7,2858319,366243,570
2026-05-27,Sonnet 4.6,191006,31890,81
2026-05-28,Opus 4.7,930198,161719,237
2026-05-29,Opus 4.7,1619972,234606,428
2026-05-30,Haiku 4.5,93233,8776,27
2026-05-30,Opus 4.7,2282701,465203,736
2026-05-30,Opus 4.8,395385,118821,144
2026-05-31,Opus 4.7,1713886,289562,499
2026-05-31,Other,0,0,3
2026-06-01,Opus 4.7,842908,136397,181
2026-06-02,Opus 4.7,1005816,171495,348
2026-06-02,Opus 4.8,845756,169532,195
2026-06-03,Opus 4.8,4567061,879626,973
2026-06-03,Other,0,0,2
2026-06-04,Opus 4.8,998000,208025,356
2026-06-05,Opus 4.8,821166,119257,152
2026-06-06,Opus 4.8,3604454,852983,921
2026-06-07,Opus 4.8,3385344,718473,898
2026-06-07,Other,0,0,4
2026-06-08,Opus 4.8,2390330,409126,419
2026-06-08,Other,0,0,4
